ent_num,Company Name,Chinese Name
30882,CHINA TELECOM CORPORATION LIMITED,中国电信股份有限公司
30902,AERO ENGINE CORPORATION OF CHINA,中国航空发动机集团有限公司
30923,CHINA MOBILE LIMITED,中国移动有限公司
30924,CHINA UNICOM (HONG KONG) LIMITED,中国联合网络通信(香港)股份有限公司
30925,"AVIATION INDUSTRY CORPORATION OF CHINA, LTD.",中国航空工业集团有限公司
30926,CNOOC LIMITED,中国海洋石油有限公司
30927,CHINA ACADEMY OF LAUNCH VEHICLE TECHNOLOGY,中国运载火箭技术研究院
30928,CHINA AEROSPACE SCIENCE AND INDUSTRY CORPORATION LIMITED,中国航天科工集团有限公司
30929,CHINA AEROSPACE SCIENCE AND TECHNOLOGY CORPORATION,中国航天科技集团有限公司
30930,CHINA COMMUNICATIONS CONSTRUCTION COMPANY LIMITED,中国交通建设股份有限公司
30932,CHINA ELECTRONICS CORPORATION,中国电子信息产业集团有限公司
30933,CHINA SOUTH INDUSTRIES GROUP CORPORATION,中国兵器装备集团有限公司
30934,"CHINA SPACESAT CO., LTD.",中国卫星股份有限公司
30936,CHINA ELECTRONICS TECHNOLOGY GROUP CORPORATION,中国电子科技集团有限公司
30937,CHINA GENERAL NUCLEAR POWER CORPORATION,中国广核集团有限公司
30938,CHINA STATE SHIPBUILDING CORPORATION LIMITED,中国船舶集团有限公司
30939,CHINA TELECOMMUNICATIONS CORPORATION,中国电信集团有限公司
30942,"CHINA UNITED NETWORK COMMUNICATIONS GROUP CO., LTD.",中国联合网络通信集团有限公司
30944,"CHINA MOBILE COMMUNICATIONS GROUP CO., LTD.",中国移动通信集团有限公司
30946,"HANGZHOU HIKVISION DIGITAL TECHNOLOGY CO., LTD.",杭州海康威视数字技术股份有限公司
30947,"HUAWEI TECHNOLOGIES CO., LTD.",华为技术有限公司
30949,"INSPUR GROUP CO., LTD.",浪潮集团有限公司
30950,"PANDA ELECTRONICS GROUP CO., LTD.",熊猫电子集团有限公司
30951,SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORPORATION,中芯国际集成电路制造有限公司
30954,CHINA NATIONAL NUCLEAR CORPORATION,中国核工业集团有限公司
30956,CHINA NATIONAL OFFSHORE OIL CORPORATION,中国海洋石油集团有限公司
30957,CHINA NORTH INDUSTRIES GROUP CORPORATION LIMITED,中国兵器工业集团有限公司
30958,CHINA NUCLEAR ENGINEERING CORPORATION LIMITED,中国核工业建设股份有限公司
30959,CHINA RAILWAY CONSTRUCTION CORPORATION LIMITED,中国铁建股份有限公司
32028,ANHUI GREATWALL MILITARY INDUSTRY COMPANY LIMITED,安徽长城军工股份有限公司
32052,AVIC XI'AN AIRCRAFT INDUSTRY GROUP COMPANY LTD.,中航西安飞机工业集团股份有限公司
32053,AVIC HEAVY MACHINERY COMPANY LIMITED,中航重机股份有限公司
32055,"AVIC JONHON OPTRONIC TECHNOLOGY CO., LTD.",中航光电科技股份有限公司
32056,AVIC SHENYANG AIRCRAFT COMPANY LIMITED,中航沈飞股份有限公司
32069,"CHINA SATELLITE COMMUNICATIONS CO., LTD.",中国卫通集团股份有限公司
32072,CHINA COMMUNICATIONS CONSTRUCTION GROUP (LIMITED),中国交通建设集团有限公司
32073,AEROSPACE COMMUNICATIONS HOLDINGS GROUP COMPANY LIMITED,航天通信控股集团股份有限公司
32077,"FUJIAN TORCH ELECTRON TECHNOLOGY CO., LTD.",福建火炬电子科技股份有限公司
32078,"INNER MONGOLIA FIRST MACHINERY GROUP CO., LTD.",内蒙古第一机械集团有限公司
32079,CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED,中船海洋与防务装备股份有限公司
32082,AVIC AVIATION HIGH-TECHNOLOGY COMPANY LIMITED,中航航空高科技股份有限公司
32084,"AEROSPACE CH UAV CO., LTD",航天彩虹无人机股份有限公司
32085,"CHINA AEROSPACE TIMES ELECTRONICS CO., LTD",航天时代电子技术股份有限公司
32087,"HUAWEI INVESTMENT & HOLDING CO., LTD.",华为投资控股有限公司
32088,"JIANGXI HONGDU AVIATION INDUSTRY CO., LTD.",江西洪都航空工业股份有限公司
32090,CHINA AVIONICS SYSTEMS COMPANY LIMITED,中航航空电子系统股份有限公司
32100,CHINA SHIPBUILDING INDUSTRY COMPANY LIMITED,中国船舶重工股份有限公司
32101,"GUIZHOU SPACE APPLIANCE CO., LTD",贵州航天电器股份有限公司
32102,CHANGSHA JINGJIA MICROELECTRONICS COMPANY LIMITED,长沙景嘉微电子股份有限公司
32103,CHINA MARINE INFORMATION ELECTRONICS COMPANY LIMITED,中国海洋信息电子有限公司
32106,CHINA SHIPBUILDING INDUSTRY GROUP POWER COMPANY LIMITED,中国船舶重工集团动力股份有限公司
32107,"COSTAR GROUP CO., LTD.",星宇科技发展有限公司
32128,NANJING PANDA ELECTRONICS COMPANY LIMITED,南京熊猫电子股份有限公司
32129,AEROSUN CORPORATION,航天晨光股份有限公司
32130,"NORTH NAVIGATION CONTROL TECHNOLOGY CO., LTD.",北方导航控制技术股份有限公司
32131,SHAANXI ZHONGTIAN ROCKET TECHNOLOGY COMPANY LIMITED,陕西中天火箭技术股份有限公司
32153,ZHONGHANG ELECTRONIC MEASURING INSTRUMENTS COMPANY LIMITED,中航电测仪器股份有限公司
33091,MEGVII TECHNOLOGY LIMITED,旷视科技有限公司
33111,"SZ DJI TECHNOLOGY CO., LTD.",深圳市大疆创新科技有限公司
33112,"CLOUDWALK TECHNOLOGY CO., LTD.",云从科技集团股份有限公司
33113,"DAWNING INFORMATION INDUSTRY CO., LTD",中科曙光信息产业股份有限公司
33114,SENSETIME GROUP LIMITED,商汤集团有限公司
33894,LEON TECHNOLOGY COMPANY LIMITED,立昂技术股份有限公司
33895,NETPOSA TECHNOLOGIES LIMITED,东方网力科技股份有限公司
33896,"XIAMEN MEIYA PICO INFORMATION CO., LTD.",厦门市美亚柏科信息股份有限公司
